Hindi,English
विवाह,Marriage
भूमि,land
भाव,expressions
देखकर,after seeing
करोड़,Ten million
प्रथम,First
मूल,Original
परिवर्तन,Change
बच्चों,children
लाभ,Benefit
प्रदान,provide
आये,come
छोटी,Small
स्त्री,Woman
सेवा,Service
व्यवहार,Behaviour
राम,Ram
रचना,Composition
की,of
भिन्न,Different
मिट्टी,Soil
देशों,countries
इनके,Their
आती,comes
सही,Correct
उपलब्ध,Available
बल्कि,Rather
प्राय,usually
बिजली,Electricity
लेते,taking
जान,Life
बढ़,increase
सारे,all
शायद,Perhaps
सरकारी,government
पड़,fall
चुका,paid
पड़ा,had
विधि,Method
छोड़,leave
लिखा,wrote
जबकि,Whereas
सिर्फ,Only
दर्शन,Visit
प्रक्रिया,Process
दिखाई,appeared
कुल,Total
शब्दों,words
लाल,Red
निकल,Out
नये,new
रखने,keeping
पंजाब,Punjab
नदी,River
गए,Went
मृत्यु,death
स्वीकार,Accept
अन्तरिक्ष,space
आकर,come
याद,Memory
उठा,picking
दूध,Milk
कांग्रेस,Congress
सारी,all
माध्यम,Channel
दूसरा,Second
संबंध,relationship
जिन,Gin
चाहे,whether
चाहते,Want
प्रणाली,System
तभी,only then
होंगे,will be
इनमें,Among these
सन,Sun
मान,Value
पुत्र,Son
उद्देश्य,Objective
विश्वास,faith
पिछले,Previous
ताकि,So that
निश्चित,Fixed
जिसका,Whose
जानकारी,Information
नेता,Leader
बालक,Boy
अन्त,end
उचित,Appropriate
संगीत,music
जल्दी,Quick
क्षमता,Capacity
हजार,Thousand
जाएगा,will go
बनाया,made
पति,Husband
कोशिश,Effort
चुके,already
खाने,eat
फसल,Crop
प्रकृति,Nature
पौधों,plants
प्रकट,Revealed
पक्ष,Party
नीति,Policy
यद्यपि,Although
मात्र,Only
भारी,Heavy
पुस्तकालय,Library
चले,let's go
समिति,Committee
सामग्री,Material
चाहिये,should
अन्तर्गत,under
माल,Goods
शामिल,Involved
बोली,Languages
उनसे,from them
अपेक्षा,Expectation
हेतु,For
नगर,City
दिये,lamps
सम्बन्धी,relative
पुस्तक,Book
खुद,Self
वर्णन,Description
बने,became
जोर,Emphasis
करें,do
जिनमें,in which
लक्षण,symptoms
नामक,named
वहीं,There itself
तुम्हारे,Your
विश्व,World
शासन,Government
वैसे,By the way
युग,Era
बैठ,sit
स्थापना,Establishment
अर्थात,In other words
सारा,Sarah
लेता,takes
लगती,seems
शैली,Style
लें,take
पार्टी,Party
गीत,Song
अवसर,opportunity
युद्ध,war
मालूम,Known
चारों,All four
प्रकाश,Light
जायेगा,will go
बैठे,sitting
तुम्हें,you
समाप्त,End
जाय,go
साफ,Clean
धार्मिक,Religious
ताप,heat
उल्लेख,Mention
वर्तमान,present
लेना,Take
थोड़ी,a little
इनका,Their
विकसित,advanced
बन्द,closed
प्रसिद्ध,Famous
विशिष्ट,Specific
प्रेम,Love
चली,went
रखते,keeping
भावना,Emotion
चलता,walks
सिद्ध,Proven
वालों,those
चित्रों,Pictures
पुरुष,Male
पदार्थ,Substance
चर्चा,Discussion
खाना,Eat
उच्च,High
इतने,So much
दी,Gave
दिए,Given
सीमा,Limit
वस्तु,object
पड़ी,fell
गति,motion
अत्यन्त,extremely
संगठन,Organization
कितना,How much
इस्तेमाल,use
बाबा,Dad
प्रकाशित,Published
ढंग,manner
अधिकार,rights
उधर,there
पड़े,lie
सके,could
सूचना,Information
अंग्रेजी,English
सुन्दर,Beautiful
पुनः,again
केंद्रीय,central
आधुनिक,Modern
शहर,City 
प्रधानमंत्री,Prime Minister
ब्राह्मण,Brahmin
उनको,For them
महीने,month
अच्छे,good
हवा,Air
शाम,Evening
इधर,here
संसार,World
विरोध,Oppose
रखना,Keep
प्रशिक्षण,Training
संघ,union
बनी,Bunny
पृथ्वी,Earth
ऊर्जा,energy
हमने,We
वास्तविक,Real
सहयोग,Collaboration
तेल,Oil
अवधि,Duration
सात,Seven
लगते,It seems
मार्ग,route
बंद,Close
प्रचलित,prevalent
संघर्ष,Conflict
दिशा,Direction
स्थित,Located
बैठा,sat
वर्षों,years
अधिकांश,Most
शादी,Marriage
वातावरण,environment
तुलना,Compare
राजीव,Rajeev
साधारण,ordinary
सम्पूर्ण,complete
राजस्थान,Rajasthan
सफल,Success
कितने,How many?
वापस,Back
मानसिक,Mental
परम्परा,tradition
बोले,Speak
बीज,Seed
खेल,game
अंग,Organ
बैठक,meeting
जरूरत,Need
ग्रामीण,Rural
इनकी,their
कथा,Story
आयु,age
बातचीत,Conversation
प्रभावित,Affected
निर्धारित,Determined
निकाल,Extract
घटना,Event
कितनी,How many
कवि,Poet
रक्त,blood
बालकों,children
किसान,Farmer
इच्छा,Desire
आयी,came
बजे,at 10:00
चेहरे,faces
गुण,Property
आकार,size
हृदय,Heart
राज,Rule
मार,Kill
चुकी,Chuki
यात्रा,Travel
नष्ट,destroyed
खेती,Farming
सुबह,Morning
नयी,New
जिन्हें,whom
आरम्भ,beginning
सुनकर,Hearing
वायु,Air
नजर,sight
थोड़ा,Little
खाली,Empty
ॐ,Om
खोज,Search
एकदम,At once
व्यक्तियों,individuals
राजनीतिक,Political
आँखें,eyes
संबंधित,Connected
तेज,Quick
जरा,just
व्यक्तित्व,Persona
बदल,change
सवाल,Question
उपभोक्ता,Consumer
उपज,yield
सुख,Happiness
मानते,believes
मकान,House
तेजी,speed
जुलाई,july
प्रयत्न,try
देवता,God
जानते,Know
कपड़े,Clothes
संभव,possible
सकता,Can
मदद,Help
वास्तव,really
निकट,near
चलते,Go
बाकी,Balance
सोच,Thinking
समस्त,all
सदस्य,member
कठिन,Difficult
अरे,Oho
राज्यों,states
नया,New
सीधे,straight
फूल,Flower
किस्म,Variety
अभाव,Lack
जरूरी,Necessary
सेना,Army
श्रम,Labor
विदेशी,Foreigner
बाल,Hair
पुराने,old
किंतु,But
विस्तार,Expansion
जाएगी,will go
छोटा,Small
वनस्पति,vegetation
खर्च,Expenditure
पार,cross
अधिकारी,Officer
चलने,walking
आशा,Hope
सुधार,Improvement
विशाल,Huge
पूर्ति,Fulfillment
डाल,put
जानता,knows
महसूस,Feel
बोल,Lyrics
प्रतीत,seem
अध्यक्ष,chairman
सीखने,learning
वर्ण,Character
व्यापक,Comprehensive
भविष्य,Future
ध्वनि,sound
प्रयुक्त,used
प्रचार,Publicity
प्यार,Love
शिक्षण,teaching
शेष,Remanent
मार्च,march
दुनिया,World
ख्याल,care
प्रगति,Progress
गैस,gas
लगातार,Continuous
तौर,manner
उन्हीं,those
सुरक्षित,Safe
सभा,gathering
लौट,return
लागत,Cost
बनाये,make
दर्द,Pain
आखिर,after all
सोचा,thought
दें,Give
चीज,Thing
कल्पना,Imagination
लक्ष्य,Target
चाय,Tea
खूब,Plenty
श्रीमती,Mrs
लाने,bring
मुक्त,Free
बुद्धि,Intelligence
पश्चिम,West
खेत,Farm
होनी,to be
चाहती,wants
उपयुक्त,Suitable
अंत,Ending
साधन,Resource
संकेत,Signal
वस्तुओं,objects
मामले,cases
बनाकर,By making
सहज,Simple
सदा,Always
शारीरिक,physical
पकड़,grasp
उपाय,remedy
संस्थान,Institute
सफलता,Success
बाबू,Baboo
तुम्हारी,yours
भूल,Mistake
आत्मा,Soul
विचारों,thoughts
रखी,kept
भूमिका,Role
पैर,Feet
करे,Do
हाथों,hands
भवन,building
नियम,Rule
दिल,Heart
तकनीकी,technology
जिसकी,whose
शिशु,baby
व्यय,Expense
पेट,stomach
नींद,Sleep
नेताओं,leaders
अंदर,Inside
लागू,Applicable
बनने,becoming
त्वचा,skin
गायन,singing
राजनीति,Politics
जमा,Deposit
सुविधा,Facility
बोर्ड,Board
कानून,Law
शुरु,Start
लेखक,Author
बावजूद,Despite
क्रम,Order
लगने,to seem
तुमने,you have
हाल,Condition
सम्भव,possible
स्टेशन,station
अगले,Next
रास्ते,paths
मस्तिष्क,brain
गर्म,warm
संबंधी,relative
यानी,i.e
पुरानी,Old
चित्रण,Illustration
अधिकारियों,officials
संस्कृत,Sanskrit
सुन,Listen
युवक,young man
पाठ,"Lesson, "
स्थानों,places
वर्षा,Rain
रखकर,by placing
पशु,Animal
किसानों,farmers
सत्ता,Power
प्राप्ति,Receipt
दवा,Medicine
खास,Special
कमेटी,Committee
अंक,score
हानि,Loss
सरल,Easy
सिंचाई,irrigation
शिकार,Hunt
वृक्ष,Tree
करेंगे,do
औद्योगिक,Industrial
आधारित,based
हत्या,murder
सहकारी,cooperative
विवरण,Description
रोज,Daily
मुझसे,Me
आना,come
मौसम,Season
आँखों,eyes
शुद्ध,Pure
भेद,distinction
विपरीत,Adverse
लम्बी,long
बनाना,Make
दृष्टिकोण,Approach
गलत,Wrong
समर्थन,Support
सम्मेलन,conference
सचमुच,Really
बुद्ध,Buddha
बच्चा,Child
दीवार,Wall
आंखों,eyes
अध्याय,Chapter
अत्यधिक,Excessive
सहित,including
योग,sum
मुख,mouth
बिहार,Bihar
काव्य,Poetry
सिद्धांत,Principle
सार्वजनिक,Public
लघु,short
बता,tell
परस्पर,mutual
तार,Wire
चूर्ण,powder
आयोजन,events
सांस्कृतिक,Cultural
समझने,understand
वाद्य,instrumental
प्रतीक,Sign 
तुम्हारा,yours
छात्र,Student
चुप,Silent
अक्सर,Often
जायेगी,will go
रखे,keep
भार,Burden
फलों,Fruits
जीवित,alive
आजकल,Nowadays
विस्तृत,Detailed
गिर,fall
गुरू,Guru
खाद्य,Food
उतर,Descend
अमेरिका,America
सुना,heard
स्थानीय,local
विषयों,subjects
घंटे,hours
कराने,to get
उतना,that much
शताब्दी,Century
व्यवसाय,Business
मंदिर,Temple
परिचय,Introduction
गांवों,villages
बाँध,dam
निश्चय,Determination
उपकरण,equipment
आतंकवादियों,terrorists
वैदिक,Vedic
भागों,parts
अंश,Part
सूत्र,Formula
विविध,various
बारह,Twelve
फलस्वरूप,Consequently
काट,cutting
अधिकतर,mostly
स्वाभाविक,Natural
वाक्य,Sentence
बैठी,sitting
परिस्थितियों,circumstances
सूर्य,Sun
शत्रु,enemy
पत्तियों,leaves
नियोजन,planning
ग्रन्थ,book
कही,somewhere
उम्र,Age
अग्नि,fire
सिख,Sikh
बाप,Father
पाकिस्तान,Pakistan
पश्चात्,after
चिन्ता,worry
आयोजित,organized
यहीं,right here
वाद्यों,musical instruments
मुसलमान,Muslim
भेज,send
बैंक,Bank
नारी,Woman
अंतिम,Last
समुद्र,Sea
संग्रह,Collection
लेती,takes
दृश्य,Scene
खाद,Fertilizer
आलोचना,Criticism
हैक्टर,Hector
विरोधी,anti
पश्चिमी,Western
धान,Rice 
डाक,Post
कदम,step
आकाश,Sky
स्थायी,Permanent
वितरण,Distribution
वंश,Linage
रोक,Stoppage
प्रेरणा,Inspiration
चीनी,Sugar
औरत,women
अप्रैल,april
अनिवार्य,Mandatory
सकें,can
महिला,Woman
पहचान,Identification
क्रमशः,Respectively
सैनिक,Soldier
वजह,Reason
लकड़ी,Wood
रुपये,Rupees
बढ़ा,increased
पीठ,Back
पाई,Pie
डाक्टर,Doctor
सम्पर्क,Contact
वीं,th
माननीय,Honorable
मूल्यांकन,Evaluation
गाय,Cow
क्षण,moment
हालत,Condition
संदर्भ,Reference
बीस,Twenty
दोष,Shortcoming
जीव,creatures
चित्रित,painted
खान,Mine
खुशी,Happiness
रोजगार,employment
रिपोर्ट,Report
मंत्रालय,Ministry
प्राथमिक,primary
प्रदर्शित,displayed
धारणा,perception
ताल,rythm
जंगल,Forest
सका,could
यान,vehicle
उपक्रम,undertaking
अंकित,Ankit
शिव,Shiva
त्याग,Sacrifice
जिसने,who
गरम,Hot
समाचार,news
शाखा,branch
बुरी,bad
डाला,inserted
जून,june
ज्ञात,known
गर्भ,womb
कर्मचारियों,employees
मामलों,matters
बजाय,instead
तरीके,Methods
आदर्श,Ideal
हिस्सा,Part
संरचना,structure
स्पर्श,Touch
जनवरी,January
चित्रकला,drawing
चरित्र,Character
क्षेत्रीय,regional
क्यू,Why
रखता,keeps
बिक्री,sale
पुस्तकों,books
निर्मित,made
जैन,Jain
गले,throat
ग्रा,Gram
खराब,Bad
करो,do it
कक्षा,Class
आश्चर्य,Wonder
रास्ता,way
युक्त,containing
बनाए,make
बेटा,Son
बेटे,Son
प्रबन्ध,Management
निम्नलिखित,Following
चेहरा,face
अर्जुन,Arjun
सम्मान,Respect
यथार्थ,Reality
बहू,Daughter in law
ध्वनियों,sounds
जिन्होंने,who
छाया,Shadow
खबर,News
संकट,crisis
बेटी,Daughter
पशुओं,animals
अति,Extreme
समझता,understands
रोकने,prevent
भक्ति,devotion
दशा,condition
चलती,moving
घास,Grass
कथन,statement
सामान,stuff
मजदूरी,Labour
भरी,filled
बिलकुल,Absolutely
दूसरों,others
गरीब,Poor
अस्तित्व,Existence
अकेले,Lonely
सौन्दर्य,beauty
साहसी,Daring
समझते,understand
विद्युत,Electricity
लिखी,written
नाटक,Drama
धूप,Sunlight
दरवाजे,doors
कमजोर,Weak
आदत,Habit
सम्प्रदाय,sect
शोध,research
वीर,Daring
रुपया,Rupee
मौत,Death
भले,well
प्रसन्न,Happy
निजी,Personal
जातियों,castes
गीतों,songs
कीट,Insects
उतनी,that much
अभ्यास,Practice
रंगों,colors
मान्यता,Recognition
मजबूत,Strong
भीड़,Crowd
नियमों,rules
उठता,Arising
आनन्द,joy
विष,poison
प्र,Q
तमाम,all
चिन्ह,Sign
स्थिर,steady
शराब,Liquor
वैज्ञानिकों,scientists
पहुंचा,reached
नियमित,Regular
नवीन,New
गहरी,deep
ऊष्मा,heat
उत्तम,Excellent
शास्त्र,ethology
माह,Month
मालिक,Owner
भला,well
भरे,filled
बनाई,made
गरीबी,poverty
आन्दोलन,movement
विद्या,Knowledge
पारिवारिक,family
तोड़,Break
चीजें,things
कठोर,Harsh
अनुपात,Ratio
हरियाणा,Haryana
सम्पन्न,accomplished
विधान,Legislation
राय,Opinion
तुरन्त,immediately
आपस,mutually
अधीन,under
शिक्षक,Teacher
विजय,Victory
लेख,Article
महोदय,Sir
भी,Too
फरवरी,February
पित्त,Bile
प्रत्यक्ष,direct
तर्क,logic
जेल,Jail
चुपचाप,silent
करा,Get
अनुकूल,Friendly
विष्णु,Vishnu
यों,like this
भूख,hunger
बांस,bamboo
बनता,becoming
बनकर,By becoming
बैठकर,sitting
पात्र,character
पूर्वी,Eastern
कठिनाई,difficulty
इत्यादि,etc.
सदस्यों,members
मूत्र,urine
भरा,filled
बुरा,bad
घोषणा,Announcement
खोल,shell
खुश,Happy 
खेतों,fields
कोश,Thesaurus
उपस्थित,Present
अभिव्यक्ति,Expression
श्रेष्ठ,Best 
नाग,snake
नाक,nose
जाता,go
छूट,Discount
घरों,homes
खून,Blood
करेगा,will
उतार,descent
अपराध,Crime
अधिनियम,Act
साहस,Bravery
सर्वप्रथम,first of all
पढ़ाई,studies
दिखायी,shown
दुख,Sadness
अगस्त,august
साथी,partner
सक्रिय,Active
पढ़ने,reading
पढ़,read
चालू,Working
आधा,half
समितियों,Committees
सूची,List
विवेचन,discussion
मनोविज्ञान,Psychology
पहुंचे,arrived
पुस्तकें,Books
किशोरी,teenager
इस्पात,steel
सामना,face
व्याख्या,Explanation
फुट,Foot
दिमाग,Brain
कर्मचारी,Employee
असर,effect
अफसर,officer
सतह,surface
विचित्र,Weird
बैल,Bull
तहत,under
केन्द्रों,centers
अम्ल,acid
संरक्षण,Protection
सुनने,listen
वाणी,Voice
लोहे,iron
यंत्र,Machine
भाषाविज्ञान,Linguistics
बोलने,to speak
बोध,understanding
प्रकाशन,Publications
दादा,Grandfather
टूट,broken
चरक,Charaka
खाते,accounts
कान,Ear
उद्योगों,industries
आक्रमण,attack
अंग्रेजों,British
संभावना,Possibility
यथा,as
भेजा,Sent
बनाते,making
नरेश,Naresh
दो,Two
चोरी,Theft
चित्रकार,painter
कहे,saying
स्वतन्त्र,independent
सूरज,Sun
सूक्ष्म,Micro
विशेषता,Speciality
लिख,write
मास,Mass
पंचायत,Panchayat
चरण,phase
गली,Street
खुले,open
कुर्सी,Chair
सन्दर्भ,References
स्त्रोत,Source
वर्गीकरण,Classification
महाभारत,Mahabharata
फैल,spread
पेश,Present
प्रौद्योगिकी,Technology
पुराण,Puranas
निर्धारण,Determination
चीन,China
शिकायत,Complaint
विद्यालय,School
वस्तुतः,In fact
लाया,brought
बहन,Sister
पक्षी,Bird
निर्यात,export
ना,No
जाये,go
ज्यों,As
चक्कर,dizzy
गोली,Gun Shot
कल्याण,welfare
क्रोध,Anger
कराया,got it done
इंका,Inca
सीधा,Straight
संचार,Communications
विरुद्ध,against
विद्वानों,scholars
लम्बे,taller
भुगतान,Payment
तुझे,you
चयन,selection
घोड़े,horses
उच्चारण,Pronunciation
सोने,Gold
मौका,Opportunity
मोटे,fatty
भाषण,speech
निकला,turned out
देवताओं,gods
उत्पत्ति,Produce
शहरी,urban
शक्ति,Power
राष्ट्रपति,President
महाराज,Maharaj
मन्दिर,temple
इन्द्र,Indra
अपेक्षित,expected
अंतर्गत,under
अजीब,Strange
संस्कार,rites
समाधान,Solution
शूल,colic
लिखे,Write
रहेगा,will remain
रमेश,Ramesh
जड़,Root
अधिगम,learning
सर्वाधिक,maximum
मानता,agrees
मन्त्री,Minister
बाढ़,flood
बजट,Budget
नुकसान,Loss
थोड़े,a little
जाल,Net
जानने,to know
कम्पनी,Company
कक्ष,room
उपकरणों,devices
उत्पन्न,Yield
उठकर,getting up
इसको,This
साम्राज्य,Empire
संशोधन,Amendment
राजाओं,kings
पसन्द,like
छात्रों,students
गहरा,deep
किलोग्राम,Kilogram
कालेज,college
उल्लेखनीय,notable
उपलब्धि,achievement
उत्साह,Excitement
मजदूर,laborer
प्रार्थना,Prayer
छिड़काव,spraying
समुदाय,community
शोथ,inflammation
लोरिक,Lorik
बौद्ध,Buddhist
बाग,Garden
बचा,left
पहाड़ी,hill
प्रोत्साहन,Incentive
प्रबल,Predominant
पदार्थों,substances
पूंजी,capital
जगत,world
घोल,solution
एकता,Unity
सोचने,to think
सामान्यतः,generally
स्वतंत्रता,Freedom
वित्तीय,financial
मानकर,by assuming
भौतिक,Physical
पाठ्यक्रम,Syllabus
परिणामस्वरूप,As a result
पर्वत,Mountain
तलाश,seek
गोद,Lap
गांधीजी,Gandhiji
का,Of
अन्तर्राष्ट्रीय,International
सहन,Tolerate
शेर,Lion
वैसा,like that
वस्त्र,clothes
लक्ष्मी,Laxmi
रूक,Rook
मुक्ति,Freedom
प्रोटीन,Protein
चलकर,by walking
गंभीर,Serious
आधी,half
अंकन,marking
हिंदी,Hindi
शान्त,calm
शांति,Calmness
वर्गों,sections
वृक्षों,trees
रोगों,diseases
बम्बई,Bombay
प्रथा,custom
चीजों,things
अतएव,Therefore
सकती,can
महिलाओं,women
बाह्य,external
प्रेरित,Inspired
निहित,vested
दिखाया,showed
डालने,insert
डेढ़,one and a half
गैर,Non
सम्पत्ति,property
श्रद्धा,Admiration
वार्ता,Negotiation
लड़कों,boys
मानने,to believe
मुझ,Me
नमक,Salt
छवि,image
चाचा,Uncle
चलो,Let us go
करेगा,will
हिमाचल,Himachal
स्मिता,Smita
स्थल,site
रखती,holds
रकम,amount
पहुंचने,arriving
नाना,Grandfather
दरवाजा,Door
दुकान,Shop
ठोस,Solid
जेब,pocket
चिन्तन,contemplation
गर्मी,Heat
खरीद,Purchase
क्रांति,Revolution
ऋतु,season
सुनाई,heard
विद्यालयों,schools
लिखने,write
लखनऊ,Lucknow
राग,melody
बरस,year
ब्रज,Braj
पश्चात,after
डाली,branch
गृह,Home
अकाली,Akali
सावधानी,Caution
सेवन,intake
स्वतन्त्रता,freedom
शून्य,Zero
विद्यार्थियों,students
मोटी,fat
भ्रष्टाचार,Corruption
देह,body
तेरे,yours
कार्रवाई,action
कार्यवाही,Proceeding
इस्लाम,Islam
आश्रम,Ashram
आकर्षण,Attraction
हिस्से,parts
सम्राट,King
परेशान,Worried
परम्परागत,traditional
दिसम्बर,December
जनसंख्या,population
घोषित,declared
ऋषि,sage
अखबार,Newspaper
रूपों,forms
भस्म,ashes
बगल,Next
परिस्थिति,Situation.
निगम,Corporation
नारायण,Narayan
तुरंत,Immediately
ढोला,Dhola
डालकर,by putting
चावल,Rice
गणेश,Ganesh
कार्यक्रमों,programs
उठी,got up
ईश्वर,God
आतंकवादी,Terrorist
आँख,eye
अदालत,court
होटल,hotel
हार,Garland
हजारों,thousands
संदेह,Doubt
संक्षिप्त,Short
विद्वान,Scholar
व्रत,Fast
महत्व,Importance
भयंकर,Terrifying
बेहतर,better
ब्रिटिश,British
प्रिय,Dear
नियुक्त,appointed
गम्भीर,serious
उक्त,said
अमल,Amal
हवाई,Airport
हरे,green
स्वर्णमंदिर,Golden Temple
ली,Took
मामला,Case
मछली,fish
बचपन,Childhood
बैंकों,banks
पान,betel leaf
प्राण,Life
प्रतिक्रिया,feedback
जीवाणु,bacteria
छाती,Chest
गढ़वाल,Garhwal
खुला,open
कार,car
क्रियाओं,actions
अम्मा,Mother
अंगों,organs
सन्देह,doubt
विवाद,Controversy
लड़कियों,girls
बाहरी,external
बारी,turn
प्लेग,plague
पुरुष,Male
दोपहर,Afternoon
तमिल,Tamil
चौधरी,Chowdhary
आचरण,Behaviour
अनाज,Cereal
ही,only
सिरे,ends
साढ़े,half past
संयोग,coincidence
विमर्श,discussion
विधियों,methods
व्यावहारिक,practical
वचन,Promise
रात्रि,night
भावों,emotions
भेंट,gift
बुआई,sowing
पैरों,feet
पुराना,Old
प्रतीक्षा,Wait
पत्रों,Letters
पड़ेगा,will have to
जाओ,Go
किस्मों,Varieties
किन,Why
उठे,got up
आचार्य,Acharya
आई,I
अफ्रीका,Africa
अतीत,past
हल्के,lightweight
सागर,Sea
शाह,Shah
शान्ति,peace
विदेश,Foreign
वजन,Weight
लाखों,millions
प्रारंभ,Start
प्राणियों,creatures
निर्देश,Instruction
दावा,Claim
दे,Give
चाहा,wanted
उदास,Downhearted
उत्तरी,Northern
असली,Real
हिम्मत,Courage
हरी,green
स्नेह,affection
शासक,ruler
बदले,change
बचाने,save
प्रतिनिधि,Representative
दरअसल,In fact
देखभाल,care
तने,stem
जानती,knows
केंद्र,Center
औषधि,medicine
उत्सव,Celebration
इनसे,from these
साथियों,Friends
संसाधन,resources
सदन,House
सूखे,dried
संकल्प,Resolution
शक्तिशाली,powerful
व्यर्थ,Useless
मिश्रण,mixture
बोरोन,Boron
निकालने,extract
घूम,roaming
गुस्सा,Anger
क्षति,damage
उठती,rising
अरब,Arab
अत्यंत,extremely
अक्षर,Letter
संस्थानों,institutions
सुपर,Super
संगठनों,organizations
विशेषकर,especially
वेद,Veda
महाराजा,King
भरत,Bharat
बोझ,Burden
बादल,Cloud
बयान,statement
पत्तियां,leaves
चढ़,climb
उम्मीद,Hope
उपेक्षा,Ignore
सिद्धान्तों,principles
स्व,Self
सुनते,listen
सकते,Can
रबड़,rubber
मेल,Match
मेकअप,Makeup
भूत,Evil spirit
बनते,becoming
प्रशंसा,Appreciation
प्रतिदिन,daily
पूछ,ask
दबाव,Pressure
दण्ड,punishment
टुकड़े,pieces
गहराई,depth
खींच,pull
उर्वरक,fertilizer
हिंसा,violence
साधना,Sadhana
सेवाओं,services
सर्वथा,absolutely
लेखन,writing
परेशानी,Trouble
प्रताप,Pratap
पेड़ों,trees
चेष्टा,effort
व्याकरण,grammar
लाइसेंस,License
ललित,Lalit
रूस,Russia
मील,mile
बर्फ,Ice
पाप,Sin
पुत्री,Daughter
दफ्तर,Workplace
जानवर,Animal
गाने,Songs
कार्यकर्ता,worker
कलाकारों,artists
करता,does
उत्पाद,product
आएँ,Come
सोचते,think
सीख,learn
सास,Mother in law
वीणा,Veena
यूरेनियम,Uranium
मौलिक,fundamental
मारने,kill
मुहम्मद,Muhammad
बिल,Bill
बचत,savings
प्रावधान,Provision
पचास,fifty
