,Hindi,English
203,ज्ञान,Knowledge
204,दिल्ली,Delhi
205,बनाने,make
206,रुपये,Rupees
207,रखा,kept
208,आवश्यकता,Need
209,आता,comes
210,कौन,Who
211,हों,be
212,आर्थिक,Economic
213,सहायता,Help
214,अतिरिक्त,Excessive
215,देर,Late
216,तरफ,on the side
217,लेने,take
218,चला,walked
219,सामाजिक,Social
220,समझ,Understanding
221,मगर,But
222,आते,coming
223,बच्चे,Children
224,कला,Art
225,पत्र,Letter
226,भीतर,inside
227,संस्कृति,Culture
228,उनमें,among them
229,वर्ग,Social class
230,विभाग,Department
231,चाहता,wants
232,सिर,Head
233,बताया,told
234,जगह,Place
235,वही,Same
236,इतनी,So much
237,स्थापित,Established
238,राष्ट्रीय,National
239,स्वर,Vocal
240,क्षेत्रों,areas
241,जिसके,whose
242,जन्म,Birth
243,जाए,go
244,दौरान,during
245,गांधी,Gandhi
246,हाँ,Yes
247,जनता,public
248,किस,What
249,केन्द्र,Centre
250,साहब,Sir
251,पूर्ण,full
252,पुलिस,Police
253,बोला,spoke
254,थईआ,Thea
255,कमी,Shortage
256,समस्या,Problem
257,कार्यक्रम,Program
258,विवाह,Marriage
259,भूमि,land
260,भाव,expressions
261,देखकर,after seeing
262,करोड़,Ten million
263,प्रथम,First
264,मूल,Original
265,परिवर्तन,Change
266,बच्चों,children
267,लाभ,Benefit
268,प्रदान,provide
269,आये,come
270,छोटी,Small
271,स्त्री,Woman
272,सेवा,Service
273,व्यवहार,Behaviour
274,राम,Ram
275,रचना,Composition
276,की,of
277,भिन्न,Different
278,मिट्टी,Soil
279,देशों,countries
280,इनके,Their
281,आती,comes
282,सही,Correct
283,उपलब्ध,Available
284,बल्कि,Rather
285,प्राय,usually
286,बिजली,Electricity
287,लेते,taking
288,जान,Life
289,बढ़,increase
290,सारे,all
291,शायद,Perhaps
292,सरकारी,government
293,पड़,fall
294,चुका,paid
295,पड़ा,had
296,विधि,Method
297,छोड़,leave
298,लिखा,wrote
299,जबकि,Whereas
300,सिर्फ,Only
301,दर्शन,Visit
302,प्रक्रिया,Process
303,दिखाई,appeared
304,कुल,Total
305,शब्दों,words
306,लाल,Red
307,निकल,Out
308,नये,new
309,रखने,keeping
310,पंजाब,Punjab
311,नदी,River
312,गए,Went
313,मृत्यु,death
314,स्वीकार,Accept
315,अन्तरिक्ष,space
316,आकर,come
317,याद,Memory
318,उठा,picking
319,दूध,Milk
320,कांग्रेस,Congress
321,सारी,all
322,माध्यम,Channel
323,दूसरा,Second
324,संबंध,relationship
325,जिन,Gin
326,चाहे,whether
327,चाहते,Want
328,प्रणाली,System
329,तभी,only then
330,होंगे,will be
331,इनमें,Among these
332,सन,Sun
333,मान,Value
334,पुत्र,Son
335,उद्देश्य,Objective
336,विश्वास,faith
337,पिछले,Previous
338,ताकि,So that
339,निश्चित,Fixed
340,जिसका,Whose
341,जानकारी,Information
342,नेता,Leader
343,बालक,Boy
344,अन्त,end
345,उचित,Appropriate
346,संगीत,music
347,जल्दी,Quick
348,क्षमता,Capacity
349,हजार,Thousand
350,जाएगा,will go
351,बनाया,made
352,पति,Husband
353,कोशिश,Effort
354,चुके,already
355,खाने,eat
356,फसल,Crop
357,प्रकृति,Nature
358,पौधों,plants
359,प्रकट,Revealed
360,पक्ष,Party
361,नीति,Policy
362,यद्यपि,Although
363,मात्र,Only
364,भारी,Heavy
365,पुस्तकालय,Library
366,चले,let's go
367,समिति,Committee
368,सामग्री,Material
369,चाहिये,should
370,अन्तर्गत,under
371,माल,Goods
372,शामिल,Involved
373,बोली,Languages
374,उनसे,from them
375,अपेक्षा,Expectation
376,हेतु,For
377,नगर,City
378,दिये,lamps
379,सम्बन्धी,relative
380,पुस्तक,Book
381,खुद,Self
382,वर्णन,Description
383,बने,became
384,जोर,Emphasis
385,करें,do
386,जिनमें,in which
387,लक्षण,symptoms
388,नामक,named
389,वहीं,There itself
390,तुम्हारे,Your
391,विश्व,World
392,शासन,Government
393,वैसे,By the way
394,युग,Era
395,बैठ,sit
396,स्थापना,Establishment
397,अर्थात,In other words
398,सारा,Sarah
399,लेता,takes
400,लगती,seems
401,शैली,Style
402,लें,take
403,पार्टी,Party
404,गीत,Song
405,अवसर,opportunity
406,युद्ध,war
407,मालूम,Known
408,चारों,All four
409,प्रकाश,Light
410,जायेगा,will go
411,बैठे,sitting
412,तुम्हें,you
413,समाप्त,End
414,जाय,go
415,साफ,Clean
416,धार्मिक,Religious
417,ताप,heat
418,उल्लेख,Mention
419,वर्तमान,present
420,लेना,Take
421,थोड़ी,a little
422,इनका,Their
423,विकसित,advanced
424,बन्द,closed
425,प्रसिद्ध,Famous
426,विशिष्ट,Specific
427,प्रेम,Love
428,चली,went
429,रखते,keeping
430,भावना,Emotion
431,चलता,walks
432,सिद्ध,Proven
433,वालों,those
434,चित्रों,Pictures
435,पुरुष,Male
436,पदार्थ,Substance
437,चर्चा,Discussion
438,खाना,Eat
439,उच्च,High
440,इतने,So much
441,दी,Gave
442,दिए,Given
443,सीमा,Limit
444,वस्तु,object
445,पड़ी,fell
446,गति,motion
447,अत्यन्त,extremely
448,संगठन,Organization
449,कितना,How much
450,इस्तेमाल,use
451,बाबा,Dad
452,प्रकाशित,Published
453,ढंग,manner
454,अधिकार,rights
455,उधर,there
456,पड़े,lie
457,सके,could
458,सूचना,Information
459,अंग्रेजी,English
460,सुन्दर,Beautiful
461,पुनः,again
462,केंद्रीय,central
463,आधुनिक,Modern
464,शहर,City 
465,प्रधानमंत्री,Prime Minister
466,ब्राह्मण,Brahmin
467,उनको,For them
468,महीने,month
469,अच्छे,good
470,हवा,Air
471,शाम,Evening
472,इधर,here
473,संसार,World
474,विरोध,Oppose
475,रखना,Keep
476,प्रशिक्षण,Training
477,संघ,union
478,बनी,Bunny
479,पृथ्वी,Earth
480,ऊर्जा,energy
481,हमने,We
482,वास्तविक,Real
483,सहयोग,Collaboration
484,तेल,Oil
485,अवधि,Duration
486,सात,Seven
487,लगते,It seems
488,मार्ग,route
489,बंद,Close
490,प्रचलित,prevalent
491,संघर्ष,Conflict
492,दिशा,Direction
493,स्थित,Located
494,बैठा,sat
495,वर्षों,years
496,अधिकांश,Most
497,शादी,Marriage
498,वातावरण,environment
499,तुलना,Compare
500,राजीव,Rajeev
501,साधारण,ordinary
502,सम्पूर्ण,complete
503,राजस्थान,Rajasthan
504,सफल,Success
505,कितने,How many?
506,वापस,Back
507,मानसिक,Mental
508,परम्परा,tradition
509,बोले,Speak
510,बीज,Seed
511,खेल,game
512,अंग,Organ
513,बैठक,meeting
514,जरूरत,Need
515,ग्रामीण,Rural
516,इनकी,their
517,कथा,Story
518,आयु,age
519,बातचीत,Conversation
520,प्रभावित,Affected
521,निर्धारित,Determined
522,निकाल,Extract
523,घटना,Event
524,कितनी,How many
525,कवि,Poet
526,रक्त,blood
527,बालकों,children
528,किसान,Farmer
529,इच्छा,Desire
530,आयी,came
531,बजे,at 10:00
532,चेहरे,faces
533,गुण,Property
534,आकार,size
535,हृदय,Heart
536,राज,Rule
537,मार,Kill
538,चुकी,Chuki
539,यात्रा,Travel
540,नष्ट,destroyed
541,खेती,Farming
542,सुबह,Morning
543,नयी,New
544,जिन्हें,whom
545,आरम्भ,beginning
546,सुनकर,Hearing
547,वायु,Air
548,नजर,sight
549,थोड़ा,Little
550,खाली,Empty
551,ॐ,Om
552,खोज,Search
553,एकदम,At once
554,व्यक्तियों,individuals
555,राजनीतिक,Political
556,आँखें,eyes
557,संबंधित,Connected
558,तेज,Quick
559,जरा,just
560,व्यक्तित्व,Persona
561,बदल,change
562,सवाल,Question
563,उपभोक्ता,Consumer
564,उपज,yield
565,सुख,Happiness
566,मानते,believes
567,मकान,House
568,तेजी,speed
569,जुलाई,july
570,प्रयत्न,try
571,देवता,God
572,जानते,Know
573,कपड़े,Clothes
574,संभव,possible
575,सकता,Can
576,मदद,Help
577,वास्तव,really
578,निकट,near
579,चलते,Go
580,बाकी,Balance
581,सोच,Thinking
582,समस्त,all
583,सदस्य,member
584,कठिन,Difficult
585,अरे,Oho
586,राज्यों,states
587,नया,New
588,सीधे,straight
589,फूल,Flower
590,किस्म,Variety
591,अभाव,Lack
592,जरूरी,Necessary
593,सेना,Army
594,श्रम,Labor
595,विदेशी,Foreigner
596,बाल,Hair
597,पुराने,old
598,किंतु,But
599,विस्तार,Expansion
600,जाएगी,will go
601,छोटा,Small
602,वनस्पति,vegetation
603,खर्च,Expenditure
604,पार,cross
605,अधिकारी,Officer
606,चलने,walking
607,आशा,Hope
608,सुधार,Improvement
609,विशाल,Huge
610,पूर्ति,Fulfillment
611,डाल,put
612,जानता,knows
613,महसूस,Feel
614,बोल,Lyrics
615,प्रतीत,seem
616,अध्यक्ष,chairman
617,सीखने,learning
618,वर्ण,Character
619,व्यापक,Comprehensive
620,भविष्य,Future
621,ध्वनि,sound
622,प्रयुक्त,used
623,प्रचार,Publicity
624,प्यार,Love
625,शिक्षण,teaching
626,शेष,Remanent
627,मार्च,march
628,दुनिया,World
629,ख्याल,care
630,प्रगति,Progress
631,गैस,gas
632,लगातार,Continuous
633,तौर,manner
634,उन्हीं,those
635,सुरक्षित,Safe
636,सभा,gathering
637,लौट,return
638,लागत,Cost
639,बनाये,make
640,दर्द,Pain
641,आखिर,after all
642,सोचा,thought
643,दें,Give
644,चीज,Thing
645,कल्पना,Imagination
646,लक्ष्य,Target
647,चाय,Tea
648,खूब,Plenty
649,श्रीमती,Mrs
650,लाने,bring
651,मुक्त,Free
652,बुद्धि,Intelligence
653,पश्चिम,West
654,खेत,Farm
655,होनी,to be
656,चाहती,wants
657,उपयुक्त,Suitable
658,अंत,Ending
659,साधन,Resource
660,संकेत,Signal
661,वस्तुओं,objects
662,मामले,cases
663,बनाकर,By making
664,सहज,Simple
665,सदा,Always
666,शारीरिक,physical
667,पकड़,grasp
668,उपाय,remedy
669,संस्थान,Institute
670,सफलता,Success
671,तुम्हारी,yours
672,भूल,Mistake
673,आत्मा,Soul
674,विचारों,thoughts
675,रखी,kept
676,भूमिका,Role
677,पैर,Feet
678,करे,Do
679,हाथों,hands
680,भवन,building
681,नियम,Rule
682,दिल,Heart
683,तकनीकी,technology
684,जिसकी,whose
685,शिशु,baby
686,व्यय,Expense
687,पेट,stomach
688,नींद,Sleep
689,नेताओं,leaders
690,अंदर,Inside
691,लागू,Applicable
692,बनने,becoming
693,त्वचा,skin
694,गायन,singing
695,राजनीति,Politics
696,जमा,Deposit
697,सुविधा,Facility
698,बोर्ड,Board
699,कानून,Law
700,शुरु,Start
701,लेखक,Author
702,बावजूद,Despite
703,क्रम,Order
704,लगने,to seem
705,तुमने,you have
706,हाल,Condition
707,सम्भव,possible
708,स्टेशन,station
709,अगले,Next
710,रास्ते,paths
711,मस्तिष्क,brain
712,गर्म,warm
713,संबंधी,relative
714,यानी,i.e
715,पुरानी,Old
716,चित्रण,Illustration
717,अधिकारियों,officials
718,संस्कृत,Sanskrit
719,सुन,Listen
720,युवक,young man
721,पाठ,"Lesson, "
722,स्थानों,places
723,वर्षा,Rain
724,रखकर,by placing
725,पशु,Animal
726,किसानों,farmers
727,सत्ता,Power
728,प्राप्ति,Receipt
729,दवा,Medicine
730,खास,Special
731,कमेटी,Committee
732,अंक,score
733,हानि,Loss
734,सरल,Easy
735,सिंचाई,irrigation
736,शिकार,Hunt
737,वृक्ष,Tree
738,करेंगे,do
739,औद्योगिक,Industrial
740,आधारित,based
741,हत्या,murder
742,सहकारी,cooperative
743,विवरण,Description
744,रोज,Daily
745,मुझसे,Me
746,आना,come
747,मौसम,Season
748,आँखों,eyes
749,शुद्ध,Pure
750,भेद,distinction
751,विपरीत,Adverse
752,लम्बी,long
753,बनाना,Make
754,दृष्टिकोण,Approach
755,गलत,Wrong
756,समर्थन,Support
757,सम्मेलन,conference
758,सचमुच,Really
759,बुद्ध,Buddha
760,बच्चा,Child
761,दीवार,Wall
762,आंखों,eyes
763,अध्याय,Chapter
764,अत्यधिक,Excessive
765,सहित,including
766,योग,sum
767,मुख,mouth
768,बिहार,Bihar
769,काव्य,Poetry
770,सिद्धांत,Principle
771,सार्वजनिक,Public
772,लघु,short
773,बता,tell
774,परस्पर,mutual
775,तार,Wire
776,चूर्ण,powder
777,आयोजन,events
778,सांस्कृतिक,Cultural
779,समझने,understand
780,वाद्य,instrumental
781,प्रतीक,Sign 
782,तुम्हारा,yours
783,छात्र,Student
784,चुप,Silent
785,अक्सर,Often
786,जायेगी,will go
787,रखे,keep
788,भार,Burden
789,फलों,Fruits
790,जीवित,alive
791,आजकल,Nowadays
792,विस्तृत,Detailed
793,गिर,fall
794,गुरू,Guru
795,खाद्य,Food
796,उतर,Descend
797,अमेरिका,America
798,सुना,heard
799,स्थानीय,local
800,विषयों,subjects
801,घंटे,hours
802,कराने,to get
803,उतना,that much
804,शताब्दी,Century
805,व्यवसाय,Business
806,मंदिर,Temple
807,परिचय,Introduction
808,गांवों,villages
809,बाँध,dam
810,निश्चय,Determination
811,उपकरण,equipment
812,आतंकवादियों,terrorists
813,वैदिक,Vedic
814,भागों,parts
815,अंश,Part
816,सूत्र,Formula
817,विविध,various
818,बारह,Twelve
819,फलस्वरूप,Consequently
820,काट,cutting
821,अधिकतर,mostly
822,स्वाभाविक,Natural
823,वाक्य,Sentence
824,बैठी,sitting
825,परिस्थितियों,circumstances
826,सूर्य,Sun
827,शत्रु,enemy
828,पत्तियों,leaves
829,नियोजन,planning
830,ग्रन्थ,book
831,कही,somewhere
832,उम्र,Age
833,अग्नि,fire
834,सिख,Sikh
835,बाप,Father
836,पाकिस्तान,Pakistan
837,पश्चात्,after
838,चिन्ता,worry
839,आयोजित,organized
840,यहीं,right here
841,वाद्यों,musical instruments
842,मुसलमान,Muslim
843,भेज,send
844,बैंक,Bank
845,नारी,Woman
846,अंतिम,Last
847,समुद्र,Sea
848,संग्रह,Collection
849,लेती,takes
850,दृश्य,Scene
851,खाद,Fertilizer
852,आलोचना,Criticism
853,हैक्टर,Hector
854,विरोधी,anti
855,पश्चिमी,Western
856,धान,Rice 
857,डाक,Post
858,कदम,step
859,आकाश,Sky
860,स्थायी,Permanent
861,वितरण,Distribution
862,वंश,Linage
863,रोक,Stoppage
864,प्रेरणा,Inspiration
865,चीनी,Sugar
866,औरत,women
867,अप्रैल,april
868,अनिवार्य,Mandatory
869,सकें,can
870,महिला,Woman
871,पहचान,Identification
872,क्रमशः,Respectively
873,सैनिक,Soldier
874,वजह,Reason
875,लकड़ी,Wood
876,रुपये,Rupees
877,बढ़ा,increased
878,पीठ,Back
879,पाई,Pie
880,डाक्टर,Doctor
881,सम्पर्क,Contact
882,वीं,th
883,माननीय,Honorable
884,मूल्यांकन,Evaluation
885,गाय,Cow
886,क्षण,moment
887,हालत,Condition
888,संदर्भ,Reference
889,बीस,Twenty
890,दोष,Shortcoming
891,जीव,creatures
892,चित्रित,painted
893,खान,Mine
894,खुशी,Happiness
895,रोजगार,employment
896,रिपोर्ट,Report
897,मंत्रालय,Ministry
898,प्राथमिक,primary
899,प्रदर्शित,displayed
900,धारणा,perception
901,ताल,rythm
902,जंगल,Forest
903,सका,could
904,यान,vehicle
905,उपक्रम,undertaking
906,अंकित,Ankit
907,शिव,Shiva
908,त्याग,Sacrifice
909,जिसने,who
910,गरम,Hot
911,समाचार,news
912,शाखा,branch
913,बुरी,bad
914,डाला,inserted
915,जून,june
916,ज्ञात,known
917,गर्भ,womb
918,कर्मचारियों,employees
919,मामलों,matters
920,बजाय,instead
921,तरीके,Methods
922,आदर्श,Ideal
923,हिस्सा,Part
924,संरचना,structure
925,स्पर्श,Touch
926,जनवरी,January
927,चित्रकला,drawing
928,चरित्र,Character
929,क्षेत्रीय,regional
930,क्यू,Why
931,रखता,keeps
932,बिक्री,sale
933,पुस्तकों,books
934,निर्मित,made
935,जैन,Jain
936,गले,throat
937,ग्रा,Gram
938,खराब,Bad
939,करो,do it
940,कक्षा,Class
941,आश्चर्य,Wonder
942,रास्ता,way
943,युक्त,containing
944,बनाए,make
945,बेटा,Son
946,बेटे,Son
947,प्रबन्ध,Management
948,निम्नलिखित,Following
949,चेहरा,face
950,अर्जुन,Arjun
951,सम्मान,Respect
952,यथार्थ,Reality
953,बहू,Daughter in law
954,ध्वनियों,sounds
955,जिन्होंने,who
956,छाया,Shadow
957,खबर,News
958,संकट,crisis
959,बेटी,Daughter
960,पशुओं,animals
961,अति,Extreme
962,समझता,understands
963,रोकने,prevent
964,भक्ति,devotion
965,दशा,condition
966,चलती,moving
967,घास,Grass
968,कथन,statement
969,सामान,stuff
970,मजदूरी,Labour
971,भरी,filled
972,बिलकुल,Absolutely
973,दूसरों,others
974,गरीब,Poor
975,अस्तित्व,Existence
976,अकेले,Lonely
977,सौन्दर्य,beauty
978,साहसी,Daring
979,समझते,understand
980,विद्युत,Electricity
981,लिखी,written
982,नाटक,Drama
983,धूप,Sunlight
984,दरवाजे,doors
985,कमजोर,Weak
986,आदत,Habit
987,सम्प्रदाय,sect
988,शोध,research
989,वीर,Daring
990,रुपया,Rupee
991,मौत,Death
992,भले,well
993,प्रसन्न,Happy
994,निजी,Personal
995,जातियों,castes
996,गीतों,songs
997,कीट,Insects
998,उतनी,that much
999,अभ्यास,Practice
1000,रंगों,colors
1001,मान्यता,Recognition
1002,मजबूत,Strong
1003,भीड़,Crowd
1004,नियमों,rules
1005,उठता,Arising
1006,आनन्द,joy
1007,विष,poison
1008,प्र,Q
1009,तमाम,all
1010,चिन्ह,Sign
1011,स्थिर,steady
1012,शराब,Liquor
1013,वैज्ञानिकों,scientists
1014,पहुंचा,reached
1015,नियमित,Regular
1016,नवीन,New
1017,गहरी,deep
1018,ऊष्मा,heat
1019,उत्तम,Excellent
1020,शास्त्र,ethology
1021,माह,Month
1022,मालिक,Owner
1023,भला,well
1024,भरे,filled
1025,बनाई,made
1026,गरीबी,poverty
1027,आन्दोलन,movement
1028,विद्या,Knowledge
1029,पारिवारिक,family
1030,तोड़,Break
1031,चीजें,things
1032,कठोर,Harsh
1033,अनुपात,Ratio
1034,हरियाणा,Haryana
1035,सम्पन्न,accomplished
1036,विधान,Legislation
1037,राय,Opinion
1038,तुरन्त,immediately
1039,आपस,mutually
1040,अधीन,under
1041,शिक्षक,Teacher
1042,विजय,Victory
1043,लेख,Article
1044,महोदय,Sir
1045,भी,Too
1046,फरवरी,February
1047,पित्त,Bile
1048,प्रत्यक्ष,direct
1049,तर्क,logic
1050,जेल,Jail
1051,चुपचाप,silent
1052,करा,Get
1053,अनुकूल,Friendly
1054,विष्णु,Vishnu
1055,यों,like this
1056,भूख,hunger
1057,बांस,bamboo
1058,बनता,becoming
1059,बनकर,By becoming
1060,बैठकर,sitting
1061,पात्र,character
1062,पूर्वी,Eastern
1063,कठिनाई,difficulty
1064,इत्यादि,etc.
1065,सदस्यों,members
1066,मूत्र,urine
1067,भरा,filled
1068,बुरा,bad
1069,घोषणा,Announcement
1070,खोल,shell
1071,खुश,Happy 
1072,खेतों,fields
1073,कोश,Thesaurus
1074,उपस्थित,Present
1075,अभिव्यक्ति,Expression
1076,श्रेष्ठ,Best 
1077,नाग,snake
1078,नाक,nose
1079,जाता,go
1080,छूट,Discount
1081,घरों,homes
1082,खून,Blood
1083,करेगा,will
1084,उतार,descent
1085,अपराध,Crime
1086,अधिनियम,Act
1087,साहस,Bravery
1088,सर्वप्रथम,first of all
1089,पढ़ाई,studies
1090,दिखायी,shown
1091,दुख,Sadness
1092,अगस्त,august
1093,साथी,partner
1094,सक्रिय,Active
1095,पढ़ने,reading
1096,पढ़,read
1097,चालू,Working
1098,आधा,half
1099,समितियों,Committees
1100,सूची,List
1101,विवेचन,discussion
1102,मनोविज्ञान,Psychology
1103,पहुंचे,arrived
1104,पुस्तकें,Books
1105,किशोरी,teenager
1106,इस्पात,steel
1107,सामना,face
1108,व्याख्या,Explanation
1109,फुट,Foot
1110,दिमाग,Brain
1111,कर्मचारी,Employee
1112,असर,effect
1113,अफसर,officer
1114,सतह,surface
1115,विचित्र,Weird
1116,बैल,Bull
1117,तहत,under
1118,केन्द्रों,centers
1119,अम्ल,acid
1120,संरक्षण,Protection
1121,सुनने,listen
1122,वाणी,Voice
1123,लोहे,iron
1124,यंत्र,Machine
1125,भाषाविज्ञान,Linguistics
1126,बोलने,to speak
1127,बोध,understanding
1128,प्रकाशन,Publications
1129,दादा,Grandfather
1130,टूट,broken
1131,चरक,Charaka
1132,खाते,accounts
1133,कान,Ear
1134,उद्योगों,industries
1135,आक्रमण,attack
1136,अंग्रेजों,British
1137,संभावना,Possibility
1138,यथा,as
1139,भेजा,Sent
1140,बनाते,making
1141,नरेश,Naresh
1142,दो,Two
1143,चोरी,Theft
1144,चित्रकार,painter
1145,कहे,saying
1146,स्वतन्त्र,independent
1147,सूरज,Sun
1148,सूक्ष्म,Micro
1149,विशेषता,Speciality
1150,लिख,write
1151,मास,Mass
1152,पंचायत,Panchayat
1153,चरण,phase
1154,गली,Street
1155,खुले,open
1156,कुर्सी,Chair
1157,सन्दर्भ,References
1158,स्त्रोत,Source
1159,वर्गीकरण,Classification
1160,महाभारत,Mahabharata
1161,फैल,spread
1162,पेश,Present
1163,प्रौद्योगिकी,Technology
1164,पुराण,Puranas
1165,निर्धारण,Determination
1166,चीन,China
1167,शिकायत,Complaint
1168,विद्यालय,School
1169,वस्तुतः,In fact
1170,लाया,brought
1171,बहन,Sister
1172,पक्षी,Bird
1173,निर्यात,export
1174,ना,No
1175,जाये,go
1176,ज्यों,As
1177,चक्कर,dizzy
1178,गोली,Gun Shot
1179,कल्याण,welfare
1180,क्रोध,Anger
1181,कराया,got it done
1182,इंका,Inca
1183,सीधा,Straight
1184,संचार,Communications
1185,विरुद्ध,against
1186,विद्वानों,scholars
1187,लम्बे,taller
1188,भुगतान,Payment
1189,तुझे,you
1190,चयन,selection
1191,घोड़े,horses
1192,उच्चारण,Pronunciation
1193,सोने,Gold
1194,मौका,Opportunity
1195,मोटे,fatty
1196,भाषण,speech
1197,निकला,turned out
1198,देवताओं,gods
1199,उत्पत्ति,Produce
1200,शहरी,urban
1201,शक्ति,Power
1202,राष्ट्रपति,President
1203,महाराज,Maharaj
1204,मन्दिर,temple
1205,इन्द्र,Indra
1206,अपेक्षित,expected
1207,अंतर्गत,under
1208,अजीब,Strange
1209,संस्कार,rites
1210,समाधान,Solution
1211,शूल,colic
1212,लिखे,Write
1213,रहेगा,will remain
1214,रमेश,Ramesh
1215,जड़,Root
1216,अधिगम,learning
1217,सर्वाधिक,maximum
1218,मानता,agrees
1219,मन्त्री,Minister
1220,बाढ़,flood
1221,बजट,Budget
1222,नुकसान,Loss
1223,थोड़े,a little
1224,जाल,Net
1225,जानने,to know
1226,कम्पनी,Company
1227,कक्ष,room
1228,उपकरणों,devices
1229,उत्पन्न,Yield
1230,उठकर,getting up
1231,इसको,This
1232,साम्राज्य,Empire
1233,संशोधन,Amendment
1234,राजाओं,kings
1235,पसन्द,like
1236,छात्रों,students
1237,गहरा,deep
1238,किलोग्राम,Kilogram
1239,कालेज,college
1240,उल्लेखनीय,notable
1241,उपलब्धि,achievement
1242,उत्साह,Excitement
1243,मजदूर,laborer
1244,प्रार्थना,Prayer
1245,छिड़काव,spraying
1246,समुदाय,community
1247,शोथ,inflammation
1248,लोरिक,Lorik
1249,बौद्ध,Buddhist
1250,बाग,Garden
1251,बचा,left
1252,पहाड़ी,hill
1253,प्रोत्साहन,Incentive
1254,प्रबल,Predominant
1255,पदार्थों,substances
1256,पूंजी,capital
1257,जगत,world
1258,घोल,solution
1259,एकता,Unity
1260,सोचने,to think
1261,सामान्यतः,generally
1262,स्वतंत्रता,Freedom
1263,वित्तीय,financial
1264,मानकर,by assuming
1265,भौतिक,Physical
1266,पाठ्यक्रम,Syllabus
1267,परिणामस्वरूप,As a result
1268,पर्वत,Mountain
1269,तलाश,seek
1270,गोद,Lap
1271,गांधीजी,Gandhiji
